capec167,capec191,ParentOf
capec193,capec253,ChildOf
capec253,capec193,ParentOf
capec194,capec151,ChildOf
capec151,capec194,ParentOf
capec195,capec151,ChildOf
capec151,capec195,ParentOf
capec196,capec384,CanPrecede
capec384,capec196,CanFollow
capec196,capec21,ChildOf
capec21,capec196,ParentOf
capec197,capec230,ChildOf
capec230,capec197,ParentOf
capec197,capec228,CanFollow
capec228,capec197,CanPrecede
capec198,capec591,ChildOf
capec591,capec198,ParentOf
capec198,capec592,ChildOf
capec592,capec198,ParentOf
capec198,capec588,ChildOf
capec588,capec198,ParentOf
capec199,capec591,ChildOf
capec591,capec199,ParentOf
capec199,capec592,ChildOf
capec592,capec199,ParentOf
capec199,capec588,ChildOf
capec588,capec199,ParentOf
capec2,capec212,ChildOf
capec212,capec2,ParentOf
capec20,capec112,ChildOf
capec112,capec20,ParentOf
capec200,capec207,ChildOf
capec207,capec200,ParentOf
capec201,capec231,ChildOf
capec231,capec201,ParentOf
capec201,capec278,ChildOf
capec278,capec201,ParentOf
capec202,capec22,ChildOf
capec22,capec202,ParentOf
capec203,capec176,ChildOf
capec176,capec203,ParentOf
capec204,capec167,ChildOf
capec167,capec204,ParentOf
capec206,capec68,ChildOf
capec68,capec206,ParentOf
capec207,capec22,ChildOf
capec22,capec207,ParentOf
capec208,capec207,ChildOf
capec207,capec208,ParentOf
capec209,capec592,ChildOf
capec592,capec209,ParentOf
capec214,capec54,ChildOf
capec54,capec214,ParentOf
capec215,capec54,ChildOf
capec54,capec215,ParentOf
capec217,capec216,ChildOf
capec216,capec217,ParentOf
capec218,capec148,ChildOf
capec148,capec218,ParentOf
capec219,capec94,ChildOf
capec94,capec219,ParentOf
capec220,capec272,ChildOf
capec272,capec220,ParentOf
capec221,capec122,ChildOf
capec122,capec221,ParentOf
capec221,capec278,ChildOf
capec278,capec221,ParentOf
capec222,capec103,ChildOf
capec103,capec222,ParentOf
capec226,capec196,ChildOf
capec196,capec226,ParentOf
capec228,capec250,ChildOf
capec250,capec228,ParentOf
capec228,capec280,CanFollow
capec280,capec228,CanPrecede
capec229,capec231,ChildOf
capec231,capec229,ParentOf
capec23,capec242,ChildOf
capec242,capec23,ParentOf
capec23,capec165,PeerOf
capec230,capec130,ChildOf
capec130,capec230,ParentOf
capec231,capec130,ChildOf
capec130,capec231,ParentOf
capec234,capec233,ChildOf
capec233,capec234,ParentOf
capec236,capec30,ChildOf
capec30,capec236,ParentOf
capec237,capec68,ChildOf
capec68,capec237,ParentOf
capec237,capec115,ChildOf
capec115,capec237,ParentOf
capec239,capec207,ChildOf
capec207,capec239,ParentOf
capec24,capec100,ChildOf
capec100,capec24,ParentOf
capec243,capec591,ChildOf
capec591,capec243,ParentOf
capec243,capec592,ChildOf
capec592,capec243,ParentOf
capec243,capec588,ChildOf
capec588,capec243,ParentOf
capec244,capec591,ChildOf
capec591,capec244,ParentOf
capec244,capec592,ChildOf
